date,book,code,name,price,cap
2019-05-24,original,300408,三环集团,18.21,18210
2019-05-24,original,300433,蓝思科技,6.93,29106
2019-05-24,original,300602,飞荣达,21.49,25787
2019-05-24,original,300036,超图软件,15.59,28062
2019-05-24,original,002384,东山精密,13.04,27384
2019-05-24,original,300308,中际旭创,41.8,37620
2019-05-24,original,002496,辉丰股份,3.09,30900
2019-05-24,original,002454,松芝股份,5.17,31020
2019-05-24,original,002859,洁美科技,29.24,32164
2019-05-24,original,002463,沪电股份,9.14,27420
2019-05-24,original,002341,新纶科技,7.4,27380
2019-05-24,original,002273,水晶光电,10.89,27225
2019-05-24,original,300136,信维通信,22.33,29028
2019-05-24,original,002475,立讯精密,20.4,26519
2019-05-24,original,002050,三花智控,10.31,30930
2019-05-24,original,002632,道明光学,7.04,29568
2019-05-24,original,300502,新易盛,22.47,26964
2019-05-24,original,002796,世嘉科技,31.7,25360
2019-05-24,original,002281,光迅科技,25.75,28325
2019-05-24,original,300134,大富科技,13.09,26180
2019-05-24,original,300394,天孚通信,24.09,26499
2019-05-24,original,300570,太辰光,20.37,26481
2019-05-24,original,002812,恩捷股份,53.72,26860
2019-05-24,original,002570,贝因美,5.76,28800
2019-05-24,original,300253,卫宁健康,12.21,28083
2019-05-24,original,002920,德赛西威,21.87,28431
2019-05-24,5G,002792,通宇通讯,27.38,16428
2019-05-24,5G,300322,硕贝德,11.9,17850
2019-05-24,组合汇总,,,-9492.0,764587
2019-05-24,hedge,,,0.0,3119
2019-05-24,组合对冲,,,-6372.0,767706
