0,1,2,3,4,5,6
14,5,0.3,17.556701999999945,-12.023020512229863,13,0.8018369602889233
14,5,0.4,29.444991999999992,-7.534512527034434,5,1.2867873080425953
14,5,0.5,31.667047999999998,-8.736823668074749,3,1.365373895167191
14,5,0.6,29.66703599999998,-7.307126182583164,3,1.3083680690274162
14,10,0.3,20.000814,-8.333354000000014,9,0.964577932955465
14,10,0.4,9.222828000000005,-12.333276000000001,7,0.4505391112081847
14,10,0.5,12.444878000000003,-12.333276000000001,5,0.5733319754745642
14,10,0.6,10.555797999999994,-12.333276000000001,4,0.5074357504959915
14,15,0.3,8.11185400000003,-5.989260718004455,8,0.5463787066231501
14,15,0.4,10.333789999999986,-11.764621742680797,6,0.5034394253007456
14,15,0.5,15.555827999999995,-11.764621742680797,4,0.7052711185662984
14,15,0.6,14.555822000000006,-11.764621742680797,4,0.6671505289976576
14,20,0.3,7.1118600000000365,-6.6460393121698145,8,0.4865465266828558
14,20,0.4,9.333795999999994,-11.764621742680797,6,0.46339068735087335
14,20,0.5,15.555827999999995,-11.764621742680797,4,0.7052711185662984
14,20,0.6,14.555822000000006,-11.764621742680797,4,0.6671505289976576
14,25,0.3,1.11189599999999,-10.629023388398817,8,0.12622780424981256
14,25,0.4,4.333825999999985,-13.903458889855028,6,0.26726450534446256
14,25,0.5,15.555827999999995,-11.764621742680797,4,0.7052711185662984
14,25,0.6,14.555822000000006,-11.764621742680797,4,0.6671505289976576
