rsiLength,trailingPercent,victoryPercent,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
5,0.4,0.1,-0.3659553399999904,-3.649021433471656,362,-0.11640676116290999
5,0.4,0.2,-1.0522681099999875,-4.022276330350655,360,-0.35800959794725923
5,0.4,0.3,-0.12014544999999766,-3.5440024156293983,348,-0.025514113253093076
5,0.4,0.4,-0.3356655499999639,-3.8130326812497914,332,-0.09256973901749248
5,0.4,0.5,-0.25000318999996995,-4.4474138822184335,314,-0.06061700914902629
5,0.5,0.1,0.44059917000003335,-3.773251996252712,330,0.1585868273635717
5,0.5,0.2,0.20309944000000968,-4.185137307191613,330,0.08093485491915686
5,0.5,0.3,1.7316735799999927,-3.682317527296175,324,0.5535399340199195
5,0.5,0.4,1.712583300000059,-4.3176780940458315,314,0.5260149423920636
5,0.5,0.5,1.1130834900000552,-4.714048430212374,292,0.33602345073502654
5,0.6,0.1,1.695895500000022,-4.481037161998654,300,0.5166937623611481
5,0.6,0.2,1.5720833600000539,-4.661205565086382,298,0.47614572399710253
5,0.6,0.3,1.7357725100000554,-4.533542926793293,296,0.5114197409598691
5,0.6,0.4,1.678008800000086,-4.7961288925251475,288,0.48423417956620185
5,0.6,0.5,2.327334270000092,-4.936908135847213,268,0.6400462694339372
5,0.7,0.1,5.6286566499999635,-3.845754761864173,266,1.55858799327036
5,0.7,0.2,5.117343579999956,-4.091899856512988,264,1.406794194811864
5,0.7,0.3,4.6048425900000245,-4.1606970537109005,264,1.2474621731878481
5,0.7,0.4,4.22090470000005,-4.347360221261926,258,1.119279449469034
5,0.7,0.5,4.96909595000008,-4.623643108199025,240,1.2785289681968022
5,0.8,0.1,4.025650079999976,-3.822411167217877,250,1.0767161821405145
5,0.8,0.2,3.9744646199999734,-4.170225556158838,252,1.0460798449141377
5,0.8,0.3,3.7881535299999713,-4.019249622643296,250,0.9875905769791292
5,0.8,0.4,3.0393482899999658,-4.574101004411652,248,0.7794557380451353
5,0.8,0.5,4.09886532999999,-4.796870197627054,232,1.0174896908574436
5,0.9,0.1,3.5399632599999675,-4.189670119775048,226,0.9075290383359355
5,0.9,0.2,3.1024625099999703,-4.240065559768555,226,0.7959358285695909
5,0.9,0.3,4.228655469999976,-4.123526588048371,224,1.05755437646992
5,0.9,0.4,3.8310245899999984,-4.651462549031353,220,0.9356419034189629
5,0.9,0.5,3.6607808899999927,-4.785032237466932,212,0.8925776539803422
