bollWindow,bollDev,slMultiplier,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
5,1.5,0.5,-7.027759999999628,-9.990090386272083,161,-11.047183563232124
5,1.5,1.0,-9.99751999999966,-12.807327043536072,147,-12.243499537653772
5,1.5,1.5,-6.935919999999685,-9.265235843715427,137,-7.472907226743487
5,1.5,2.0,-8.037279999999692,-10.58468651506027,133,-8.483727058813448
5,1.5,2.5,-7.828639999999698,-10.250931460259908,129,-8.233811202948832
5,2.0,0.5,0.0,0.0,0,0.0
5,2.0,1.0,0.0,0.0,0,0.0
5,2.0,1.5,0.0,0.0,0,0.0
5,2.0,2.0,0.0,0.0,0,0.0
5,2.0,2.5,0.0,0.0,0,0.0
5,2.5,0.5,0.0,0.0,0,0.0
5,2.5,1.0,0.0,0.0,0,0.0
5,2.5,1.5,0.0,0.0,0,0.0
5,2.5,2.0,0.0,0.0,0,0.0
5,2.5,2.5,0.0,0.0,0,0.0
5,3.0,0.5,0.0,0.0,0,0.0
5,3.0,1.0,0.0,0.0,0,0.0
5,3.0,1.5,0.0,0.0,0,0.0
5,3.0,2.0,0.0,0.0,0,0.0
5,3.0,2.5,0.0,0.0,0,0.0
10,1.5,0.5,-2.6280799999996884,-7.63634699504588,138,-3.6697382836559997
10,1.5,1.0,-6.073519999999721,-8.98183502450124,122,-7.271281852126788
10,1.5,1.5,-3.8932799999997436,-6.945392332652717,108,-4.254024552257541
10,1.5,2.0,-4.8267999999997535,-8.513431824394623,105,-5.194028892660083
10,1.5,2.5,-5.232479999999762,-8.772209883397911,103,-5.590502841026283
10,2.0,0.5,1.179040000000131,-3.3554451957705034,56,2.55208544427136
10,2.0,1.0,-1.4809599999998646,-4.0955455976972335,56,-2.633962935985634
10,2.0,1.5,0.6933600000001316,-2.970699266036136,54,1.196941127018738
10,2.0,2.0,0.6176800000001315,-3.7617015155154587,52,1.0549230272736898
10,2.0,2.5,0.1876800000001122,-4.172985778363979,52,0.4060658592362428
10,2.5,0.5,0.6724800000000419,-0.7874097064610831,22,3.212849939329599
10,2.5,1.0,-0.37751999999995345,-0.9994698512793186,22,-1.3670620256563066
10,2.5,1.5,1.8224800000000485,-1.5222693154641964,22,4.3763970428507415
10,2.5,2.0,0.9724800000000533,-1.6998555631851728,22,2.2852453038648806
10,2.5,2.5,0.5424800000000563,-1.6998555631851728,22,1.287298440757138
10,3.0,0.5,0.0,0.0,0,0.0
10,3.0,1.0,0.0,0.0,0,0.0
10,3.0,1.5,0.0,0.0,0,0.0
10,3.0,2.0,0.0,0.0,0,0.0
10,3.0,2.5,0.0,0.0,0,0.0
15,1.5,0.5,-0.37623999999990554,-6.839353043270009,114,-0.4188705009365564
15,1.5,1.0,-3.467359999999775,-6.475337601912064,96,-4.614000005944027
15,1.5,1.5,-1.1671199999998105,-5.396429386422192,82,-1.2920635859352851
15,1.5,2.0,-2.1127999999998037,-6.955646924363042,80,-2.3858279322723974
15,1.5,2.5,-1.399839999999819,-6.144141043233634,74,-1.4777005875602511
15,2.0,0.5,-0.8539199999998526,-4.177606814208193,62,-1.919017492212146
15,2.0,1.0,-3.8239199999998585,-6.103574965556101,62,-7.638450622910725
15,2.0,1.5,-0.7366399999998774,-3.1651042495870327,54,-1.1010340780830838
15,2.0,2.0,-1.1423199999998745,-4.26259355098615,52,-1.7011224387312083
15,2.0,2.5,-1.7123199999998784,-4.814602476098876,52,-2.556699352574126
15,2.5,0.5,-0.7718399999999459,-2.1707062391920164,24,-3.0916412608886277
15,2.5,1.0,-2.9018399999999445,-3.44048758406102,24,-8.652514618799321
15,2.5,1.5,-2.521839999999942,-3.1396540307303358,24,-5.814699794652528
15,2.5,2.0,-1.9275199999999493,-3.271275441565729,22,-4.237882983353361
15,2.5,2.5,-1.9275199999999493,-3.271275441565729,22,-4.237882983353361
15,3.0,0.5,0.38704000000000516,-0.2802843372153525,6,3.031793782431403
15,3.0,1.0,0.0270400000000226,-0.49389436422440536,6,0.2153274130374426
15,3.0,1.5,0.49704000000001525,-1.0208254377470543,6,1.8196728078583866
15,3.0,2.0,0.31704000000001287,-1.1981067927123898,6,1.1640460900120428
15,3.0,2.5,0.31704000000001287,-1.1981067927123898,6,1.1640460900120428
