portfolio,code,cost,num,agent
cash,cash01,352697.07500000007,0,gtja
advance,profit,5872.981249999998,0,gtja
advance,128023,4100.0,41,gtja
cash,cash01,489955.47600000026,0,pingan
original,profit,-71040.0,0,pingan
5G,profit,18061.60999999999,0,pingan
consumer,profit,10719.250999999971,0,pingan
original,profit,78.0,0,cf
wireless,profit,-3620.0,0,pingan
5G,002792,38048.988,1100,pingan
original,300408,44371.0,1800,pingan
original,300433,54164.0,3900,pingan
consumer,300693,18827.93500000001,1100,pingan
advance,519898,202125.155,201875,gtja
