in_date,index_code,out_date,symbol
20180102,399006.SZ,,300038.SZ
20180102,399006.SZ,,300053.SZ
20180102,399006.SZ,,300148.SZ
20180102,399006.SZ,,300409.SZ
20180102,399006.SZ,,300618.SZ
20180102,399006.SZ,,300628.SZ
20180102,399006.SZ,,300676.SZ
20171009,399006.SZ,,300463.SZ
20171009,399006.SZ,,300323.SZ
20171009,399006.SZ,,300316.SZ
20171009,399006.SZ,,300284.SZ
20171009,399006.SZ,,300075.SZ
20170703,399006.SZ,,300083.SZ
20170703,399006.SZ,,300116.SZ
20170703,399006.SZ,,300180.SZ
20170703,399006.SZ,,300257.SZ
20170703,399006.SZ,,300310.SZ
20170703,399006.SZ,,300355.SZ
20170703,399006.SZ,,300558.SZ
20170405,399006.SZ,,300145.SZ
20170405,399006.SZ,,300197.SZ
20170405,399006.SZ,,300317.SZ
20170405,399006.SZ,,300450.SZ
20170405,399006.SZ,,300459.SZ
20170103,399006.SZ,,300377.SZ
20170103,399006.SZ,,300458.SZ
20161010,399006.SZ,,300297.SZ
20161010,399006.SZ,,300118.SZ
20161010,399006.SZ,,300222.SZ
20161010,399006.SZ,,300296.SZ
20161010,399006.SZ,,300037.SZ
20161010,399006.SZ,,300073.SZ
20161010,399006.SZ,,300294.SZ
20160701,399006.SZ,,300098.SZ
20160701,399006.SZ,,300009.SZ
20160701,399006.SZ,,300496.SZ
20160701,399006.SZ,,300014.SZ
20160701,399006.SZ,,300266.SZ
20160701,399006.SZ,,300364.SZ
20160401,399006.SZ,,300383.SZ
20160401,399006.SZ,,300078.SZ
20160401,399006.SZ,,300418.SZ
20160104,399006.SZ,,300159.SZ
20151123,399006.SZ,,300498.SZ
20151008,399006.SZ,,300136.SZ
20151008,399006.SZ,,300431.SZ
20150701,399006.SZ,,300156.SZ
20150701,399006.SZ,,300408.SZ
20150701,399006.SZ,,300166.SZ
20150701,399006.SZ,,300433.SZ
20150701,399006.SZ,,300324.SZ
20150701,399006.SZ,,300367.SZ
20150401,399006.SZ,,300010.SZ
20150401,399006.SZ,,300271.SZ
20150401,399006.SZ,,300033.SZ
20150401,399006.SZ,,300085.SZ
20150105,399006.SZ,,300287.SZ
20150105,399006.SZ,,300216.SZ
20150105,399006.SZ,,300134.SZ
20140701,399006.SZ,,300203.SZ
20140401,399006.SZ,,300182.SZ
20140102,399006.SZ,,300253.SZ
20140102,399006.SZ,,300244.SZ
20131008,399006.SZ,,300207.SZ
20131008,399006.SZ,,300347.SZ
20130701,399006.SZ,,300291.SZ
20130401,399006.SZ,,300212.SZ
20130104,399006.SZ,,300199.SZ
20130104,399006.SZ,,300315.SZ
20121008,399006.SZ,,300170.SZ
20121008,399006.SZ,,300168.SZ
20120405,399006.SZ,,300273.SZ
20120405,399006.SZ,,300251.SZ
20120405,399006.SZ,,300274.SZ
20110701,399006.SZ,,300144.SZ
20110701,399006.SZ,,300146.SZ
20110401,399006.SZ,,300124.SZ
20110401,399006.SZ,,300142.SZ
20110401,399006.SZ,,300122.SZ
20110401,399006.SZ,,300133.SZ
20110104,399006.SZ,,300115.SZ
20110104,399006.SZ,,300113.SZ
20100712,399006.SZ,,300090.SZ
20100610,399006.SZ,,300088.SZ
20100601,399006.SZ,,300017.SZ
20100601,399006.SZ,,300020.SZ
20100601,399006.SZ,,300002.SZ
20100601,399006.SZ,,300077.SZ
20100601,399006.SZ,,300003.SZ
20100601,399006.SZ,,300070.SZ
20100601,399006.SZ,,300027.SZ
20100601,399006.SZ,,300059.SZ
20100601,399006.SZ,,300015.SZ
20100601,399006.SZ,,300001.SZ
20100601,399006.SZ,,300072.SZ
20100601,399006.SZ,,300024.SZ
20100601,399006.SZ,,300026.SZ
20100601,399006.SZ,,300055.SZ
20100601,399006.SZ,,300058.SZ
20100601,399006.SZ,,300068.SZ
