code,name
300408,三环集团
300433,蓝思科技
002273,水晶光电
002570,贝因美
002496,辉丰股份
300502,新易盛
300136,信维通信
300073,当升科技
300602,飞荣达
300461, 田中精机(无线充电、玻璃后盖，看长线机会)
002859, 洁美科技
002792, 通宇通信
002281, 光迅科技
002812, 恩捷股份
002632, 道明光学
002050,三花智控
002341, 新纶科技
002454, 松芝股份
002475, 立讯精密
300134, 大富科技（基站滤波器迎来转机，其他募投项目能否产生收益）
300394, 天孚通信（光模块的元器件，新产能逐步释放）
300693, 盛弘股份（充电桩，等待行业回暖）
002920, 德赛西威（自动驾驶时代，汽车电子能否弯道超车）
002796, 世嘉科技（收购波发特，有天线+滤波器业务，客户为中兴）
300322, 硕贝德（聚焦天线业务主航道，ALL in）
300036, 超图软件（房产税概念，推出大限快到，方案已成稿）
300253, 卫宁健康（医疗信息化）
002036, 联创电子
