portfolio,code,cost,num,agent,date
cash,cash01,542999.8995000004,0,pingan,2019-05-23
original,profit,-103079.06100000002,0,pingan,2019-05-23
5G,profit,13086.881499999992,0,pingan,2019-05-23
anke,profit,-672.0770000000012,0,pingan,2019-05-23
redian,profit,-125.55600000000766,0,pingan,2019-05-23
5G,002792,18081,600,pingan,2019-05-23
5G,300322,20115,1500,pingan,2019-05-23
original,300408,19659,1000,pingan,2019-05-23
original,300433,29400,4200,pingan,2019-05-23
original,300602,30000,1200,pingan,2019-05-23
original,300036,18800,1800,pingan,2019-05-23
original,002384,29400,2100,pingan,2019-05-23
original,300308,28800,900,pingan,2019-05-23
original,002496,30000,10000,pingan,2019-05-23
original,002454,30000,6000,pingan,2019-05-23
original,002859,28600,1100,pingan,2019-05-23
original,002463,30000,3000,pingan,2019-05-23
original,002341,29600,3700,pingan,2019-05-23
original,002273,30000,2500,pingan,2019-05-23
original,300136,29900,1300,pingan,2019-05-23
original,002475,28600,1300,pingan,2019-05-23
original,002050,30000,3000,pingan,2019-05-23
original,002632,30000,4200,pingan,2019-05-23
original,300502,30000,1200,pingan,2019-05-23
original,002796,28000,800,pingan,2019-05-23
original,002281,29700,1100,pingan,2019-05-23
original,300134,30000,2000,pingan,2019-05-23
original,300394,29700,1100,pingan,2019-05-23
original,300570,28600,1300,pingan,2019-05-23
original,002812,27500,500,pingan,2019-05-23
original,002570,30000,5000,pingan,2019-05-23
original,300253,29900,2300,pingan,2019-05-23
original,002920,28600,1300,pingan,2019-05-23
