vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage
002548,10000,0.01,0.00003,0,0.01
002703,10000,0.01,0.00003,0,0.01
002593,10000,0.01,0.00003,0,0.01
002237,10000,0.01,0.00003,0,0.01
002041,10000,0.01,0.00003,0,0.01
002231,10000,0.01,0.00003,0,0.01
002388,10000,0.01,0.00003,0,0.01
002216,10000,0.01,0.00003,0,0.01
002436,10000,0.01,0.00003,0,0.01
002315,10000,0.01,0.00003,0,0.01
002237,10000,0.01,0.00003,0,0.01
300399,10000,0.01,0.00003,0,0.01
002041,10000,0.01,0.00003,0,0.01
002772,10000,0.01,0.00003,0,0.01
002216,10000,0.01,0.00003,0,0.01
002436,10000,0.01,0.00003,0,0.01
000715,10000,0.01,0.00003,0,0.01
000975,10000,0.01,0.00003,0,0.01
000612,10000,0.01,0.00003,0,0.01
000758,10000,0.01,0.00003,0,0.01
300087,10000,0.01,0.00003,0,0.01
000157,10000,0.01,0.00003,0,0.01
002203,10000,0.01,0.00003,0,0.01
000966,10000,0.01,0.00003,0,0.01
000803,10000,0.01,0.00003,0,0.01
002481,10000,0.01,0.00003,0,0.01
000970,10000,0.01,0.00003,0,0.01
000831,10000,0.01,0.00003,0,0.01
300659,10000,0.01,0.00003,0,0.01
300041,10000,0.01,0.00003,0,0.01
002759,10000,0.01,0.00003,0,0.01
300220,10000,0.01,0.00003,0,0.01
000876,10000,0.01,0.00003,0,0.01
002882,10000,0.01,0.00003,0,0.01
300401,10000,0.01,0.00003,0,0.01
300224,10000,0.01,0.00003,0,0.01
300127,10000,0.01,0.00003,0,0.01
300532,10000,0.01,0.00003,0,0.01
300299,10000,0.01,0.00003,0,0.01
002056,10000,0.01,0.00003,0,0.01
000858,10000,0.01,0.00003,0,0.01
002869,10000,0.01,0.00003,0,0.01
002690,10000,0.01,0.00003,0,0.01
300563,10000,0.01,0.00003,0,0.01
000586,10000,0.01,0.00003,0,0.01
002211,10000,0.01,0.00003,0,0.01
300615,10000,0.01,0.00003,0,0.01
300046,10000,0.01,0.00003,0,0.01
300463,10000,0.01,0.00003,0,0.01
300482,10000,0.01,0.00003,0,0.01
300333,10000,0.01,0.00003,0,0.01
002511,10000,0.01,0.00003,0,0.01
002395,10000,0.01,0.00003,0,0.01
