seq,mate1,mate2,start_dt
ic0,m2005,m2009,2020-01-06
ic1,m2009,m2101,2020-01-06
ic2,y2005,y2009,2020-01-06
ic3,y2009,y2101,2020-01-06
ic4,p2005,p2009,2020-01-06
ic5,p2009,p2101,2020-01-06
ic6,CF005,m2009,2020-01-06
ic7,CF009,CF101,2020-01-06
ic8,CF005,CF009,2020-01-06
ic9,CF009,CF102,2020-01-06
ip0,y2005,m2005,2020-01-06
ip1,y2009,m2009,2020-01-06
ip2,y2009,m2009,2020-01-06
ip3,y2009,m2009,2020-01-06
ip4,y2009,m2009,2020-01-06
ip5,y2005,m2005,2020-01-06
ip6,CF005,m2009,2020-01-06
ip7,y2009,m2009,2020-01-06
ip8,y2009,m2009,2020-01-06
ip9,y2009,m2007,2020-01-06
